"NAME","Total","White","Black","Asian","Hispanic","Other","p_White","p_Black","p_Asian","p_Hispanic","p_Other","entropy5","entropy4","entropy_rice","gini_simpson","FIPS"
"Fairmont-Clarksburg, WV CSA",150614,142806,3185,675,1579,2369,0.9481588696933884,0.021146772544384983,0.0044816550918241336,0.010483753170356009,0.015728949500046475,0.16735759119982585,0.13810036770979084,0.14718453053708352,0.10017017766743819,"242"
"Fargo-Wahpeton, ND-MN CSA (part); Fargo-Wahpeton, ND-MN CSA (part)",231674,210609,4320,4466,5472,6807,0.9090748206531591,0.01864689175306681,0.019277087631758418,0.023619396220551293,0.029381803741464298,0.2666441793652974,0.22039897657218543,0.2348032870756906,0.17144249150588808,"244"
"Findlay-Tiffin, OH CSA",131527,119627,2311,1579,5887,2123,0.9095242801858173,0.01757053684794757,0.01200513962912558,0.04475887080219271,0.016141172534916787,0.25847759665950953,0.2444346482467933,0.2520381024685775,0.1700488426435418,"248"
"Fond du Lac-Beaver Dam, WI CSA",190392,174723,3587,1589,7890,2603,0.9177013740073112,0.018840077314172865,0.008345938904996008,0.04144081684104374,0.013671792932476154,0.23871599220370285,0.22813294286002384,0.2348083446943449,0.15549532571324165,"252"
"Fort Polk South-DeRidder, LA CSA",87988,66524,11877,1098,4778,3711,0.7560576442242124,0.1349843160430968,0.012478974405600763,0.054302859480838295,0.042176205846251764,0.5145678866080067,0.4920566212544584,0.5010764483283442,0.405272715342915,"256"
"Fort Wayne-Huntington-Auburn, IN CSA",611712,513776,41906,10585,32795,12650,0.8398985143335426,0.06850609437120736,0.017303894643230802,0.053611830403850175,0.02067966624816907,0.396081468666501,0.3953930127118421,0.4019783271629762,0.28627609892910033,"258"
"Fresno-Madera, CA CSA",1081315,361902,50014,89389,549062,30948,0.3346869321150636,0.04625294201967049,0.08266693794130295,0.5077724807294821,0.028620707194480795,0.7210084638469237,0.7652535538434453,0.763698628405901,0.6203594631308561,"260"
"Grand Rapids-Muskegon-Holland, MI CSA",1321557,1074570,89427,22684,103703,31173,0.8131090826956385,0.06766790989718945,0.017164602056513642,0.07847031947922034,0.023588085871438007,0.4401105357585383,0.4407805337668602,0.44719629710867514,0.32726606120999546,"266"
"Greensboro--Winston-Salem--High Point, NC CSA",1589200,1064652,322535,31841,138159,32013,0.6699295242889504,0.2029543166373018,0.020035867102944877,0.08693619431160332,0.020144097659199597,0.5973400186659881,0.6351605995740823,0.6367494086869311,0.5016388553218114,"268"
"Greenville-Spartanburg-Anderson, SC CSA",1266995,937493,218880,18719,70735,21168,0.7399342538841905,0.1727552200284926,0.014774328233339516,0.05582894960122179,0.016707248252755536,0.5082083727173111,0.53773052082585,0.5406970145797799,0.41903864934925183,"273"
"Gulfport-Biloxi-Pascagoula, MS CSA",411066,295154,79034,8769,18453,9656,0.7180209504069907,0.19226596215692857,0.021332340791989608,0.04489060150924669,0.023490145134844525,0.5370716341424083,0.556282047828649,0.5599588678124754,0.4444576927865288,"274"
"Harrisburg-Carlisle-Lebanon, PA CSA",683043,558353,55975,17202,38241,13272,0.8174492674692516,0.08194945266989047,0.02518435881781967,0.055986226342997436,0.019430694700040847,0.4352199881414104,0.4448015533041827,0.4500379698510051,0.320914720955369,"276"
"Hartford-West Hartford-Willimantic, CT CSA",1330809,969154,123957,48232,162570,26896,0.7282442484233275,0.0931440950579685,0.03624261633337316,0.12215877710475358,0.020210263080577304,0.5641382074243769,0.5956731439658107,0.5980647346688187,0.444339743397972,"278"
"Houston-Baytown-Huntsville, TX CSA",6051363,2417543,1018041,385906,2124875,104998,0.39950388036546475,0.16823333850572178,0.06377174861266792,0.35113990021752123,0.017351132298624294,0.7951728142604156,0.8752039709820766,0.8724251687346033,0.6844270661502232,"288"
"Huntsville-Decatur, AL CSA",571422,405562,107843,9784,29725,18508,0.7097416620291134,0.18872742036533421,0.01712219690526441,0.052019348222504556,0.03238937247778349,0.5545686433426551,0.5588157357211238,0.5636975131377588,0.45660048031653677,"290"
"Idaho Falls-Blackfoot, ID CSA",175981,145974,651,1212,22417,5727,0.8294872741943733,0.0036992629886180893,0.006887107130883447,0.12738306976321306,0.032543285922912134,0.3628698811550509,0.32847339763915895,0.34087262306226385,0.2946042332373373,"292"
"Indianapolis-Anderson-Columbus, IN CSA",2080782,1600154,274242,42830,120211,43345,0.7690156873713825,0.13179756456947436,0.020583607509099943,0.05777202993874418,0.02083111061129902,0.4935643413880242,0.5106059935632252,0.514838366375982,0.3870490470396434,"294"
"Ithaca-Cortland, NY CSA",150900,127742,4478,9092,5358,4230,0.8465341285619615,0.0296752816434725,0.0602518223989397,0.03550695825049702,0.028031809145129226,0.3935528871611119,0.3752068040412752,0.38462365754764843,0.2768225383286762,"296"
"Jackson-Humboldt, TN CSA",165108,110468,46398,1054,4661,2527,0.6690650967851346,0.2810160622138237,0.00638370036582116,0.028230007025704388,0.015305133609516195,0.5110633208954412,0.5445615724819152,0.547182383891791,0.4723099369998979,"297"
"Jackson-Yazoo City, MS CSA",567122,270989,272026,5745,12692,5670,0.47783193034303023,0.47966046106481497,0.010130095464467963,0.022379664340300677,0.009997848787386136,0.5485580589887342,0.6024903546818213,0.6036424980411935,0.5408990632452635,"298"
"Johnson City-Kingsport-Bristol (Tri-Cities), TN-VA CSA (part); Johnson City-Kingsport-Bristol (Tri-Cities), TN-VA CSA (part)",508260,477067,11333,3187,9386,7287,0.9386278676268052,0.022297642938653446,0.006270412780860189,0.018466926376264115,0.01433715027741707,0.1930063462217642,0.1723761831794614,0.1801723729790512,0.11789464190943111,"304"
"Jonesboro-Paragould, AR CSA",163116,138807,14560,1220,5721,2808,0.8509710880600309,0.0892616297604159,0.007479339856298585,0.03507319944088869,0.017214742882365925,0.358540178265309,0.35969295191509676,0.36581123893806267,0.26629815152222924,"308"
"Kansas City-Overland Park-Kansas City, MO-KS CSA (part); Kansas City-Overland Park-Kansas City, MO-KS CSA (part)",2104853,1576407,253634,46608,168677,59527,0.7489392370868655,0.12049962633970163,0.02214311403219132,0.08013718772759904,0.028280834813642568,0.5337154249298213,0.5421078474061622,0.5468856675931512,0.41685776723004864,"312"
