"NAME","Total","White","Black","Asian","Hispanic","Other","FIPS"
"Fort Wayne, IN Metro Area",416257,330540,41183,9818,24172,10544,"23060"
"Frankfort, IN Micro Area",33224,28349,138,65,4395,277,"23140"
"Frankfort, KY Micro Area",70706,61340,5505,796,1662,1403,"23180"
"Fredericksburg, TX Micro Area",24837,19472,47,88,4969,261,"23240"
"Freeport, IL Micro Area",47711,40612,4226,295,1406,1172,"23300"
"Fremont, NE Micro Area",36691,32120,183,180,3689,519,"23340"
"Fremont, OH Micro Area",60944,52527,1624,185,5435,1173,"23380"
"Fresno, CA Metro Area",930450,304522,45005,86856,468070,25997,"23420"
"Gadsden, AL Metro Area",104430,82789,15716,657,3447,1821,"23460"
"Gaffney, SC Micro Area",55342,40939,11214,308,2032,849,"23500"
"Gainesville, FL Metro Area",264275,172348,50304,13157,21597,6869,"23540"
"Gainesville, GA Metro Area",179684,114300,12757,3181,46906,2540,"23580"
"Gainesville, TX Micro Area",38437,30255,1018,278,5997,889,"23620"
"Galesburg, IL Micro Area",70626,60714,4028,424,4048,1412,"23660"
"Gallup, NM Micro Area",71492,7384,317,542,9473,53776,"23700"
"Garden City, KS Micro Area",36776,17049,707,1207,17182,631,"23780"
"Gardnerville Ranchos, NV Micro Area",46997,39094,174,699,5103,1927,"23820"
"Georgetown, SC Micro Area",60158,37311,20128,269,1867,583,"23860"
"Gettysburg, PA Micro Area",101407,91830,1450,737,6115,1275,"23900"
"Gillette, WY Micro Area",46133,41032,134,250,3611,1106,"23940"
"Glasgow, KY Micro Area",52272,48327,1770,193,1225,757,"23980"
"Glens Falls, NY Metro Area",128923,121581,2290,709,2624,1719,"24020"
"Gloversville, NY Micro Area",55531,52110,981,320,1263,857,"24100"
"Goldsboro, NC Metro Area",122623,68216,38107,1405,12162,2733,"24140"
"Granbury, TX Micro Area",59672,51183,279,336,6860,1014,"24180"
"Grand Forks, ND-MN Metro Area (part); Grand Forks, ND-MN Metro Area (part)",98461,87768,1570,1490,3671,3962,"24220"
"Grand Island, NE Micro Area",72726,56009,935,650,14033,1099,"24260"
"Grand Junction, CO Metro Area",146723,121944,776,1059,19552,3392,"24300"
"Grand Rapids-Wyoming, MI Metro Area",774160,615337,60013,14569,65227,19014,"24340"
"Grants, NM Micro Area",27213,5857,221,136,9934,11065,"24380"
"Grants Pass, OR Micro Area",82713,73289,295,667,5251,3211,"24420"
"Great Bend, KS Micro Area",27674,23092,367,53,3683,479,"24460"
"Great Falls, MT Metro Area",81327,71100,958,665,2711,5893,"24500"
"Greeley, CO Metro Area",252825,170827,2054,2873,71680,5391,"24540"
"Green Bay, WI Metro Area",306241,263593,5417,6826,18967,11438,"24580"
"Greeneville, TN Micro Area",68831,64637,1355,249,1690,900,"24620"
"Greensboro-High Point, NC Metro Area",723801,449177,182490,20888,54683,16563,"24660"
"Greensburg, IN Micro Area",25740,24796,76,178,426,264,"24700"
