"NAME","P0050001","P0050002","P0050003","P0050004","P0050005","P0050006","P0050007","P0050008","P0050009","P0050010","P0050011","P0050012","P0050013","P0050014","P0050015","P0050016","P0050017","FIPS"
"Clarksburg, WV Micro Area",94196,93131,89932,1347,188,394,16,34,1220,1065,810,10,11,7,1,114,112,"17220"
"Clarksdale, MS Micro Area",26151,25858,5918,19698,20,114,4,7,97,293,71,54,3,9,0,121,35,"17260"
"Clarksville, TN-KY Metro Area (part); Clarksville, TN-KY Metro Area (part)",273949,255231,191406,48806,1225,4387,912,337,8158,18718,9212,1242,305,118,63,5434,2344,"17300"
"Clearlake, CA Micro Area",64665,53577,47938,1186,1530,695,97,107,2024,11088,4095,46,519,29,11,5348,1040,"17340"
"Cleveland, MS Micro Area",34145,33506,11241,21839,38,186,10,15,177,639,205,81,4,3,1,309,36,"17380"
"Cleveland, TN Metro Area",115788,110891,103851,4166,304,844,46,115,1565,4897,1932,103,90,17,15,2324,416,"17420"
"Cleveland-Elyria-Mentor, OH Metro Area",2077240,1979107,1490074,409582,3164,40149,311,2501,33326,98133,48308,6946,892,373,87,32723,8804,"17460"
"Clewiston, FL Micro Area",39140,19897,13650,5057,580,275,11,49,275,19243,9786,204,92,4,13,8372,772,"17500"
"Clinton, IA Micro Area",49116,47873,45454,1258,101,277,9,23,751,1243,698,33,20,3,3,338,148,"17540"
"Clovis, NM Micro Area",48376,29259,24545,2774,288,574,28,69,981,19117,9183,281,278,51,24,8275,1025,"17580"
"Coeur d'Alene, ID Metro Area",138494,133226,127454,381,1570,925,117,117,2662,5268,3390,35,211,36,12,924,660,"17660"
"Coffeyville, KS Micro Area",35471,33627,28712,2022,1099,202,32,34,1526,1844,849,37,89,3,6,636,224,"17700"
"Coldwater, MI Micro Area",45248,43444,41116,1380,166,196,2,22,562,1804,939,13,15,12,1,715,109,"17740"
"College Station-Bryan, TX Metro Area",228660,177099,136769,26400,579,10103,85,262,2901,51561,30684,698,489,111,38,17230,2311,"17780"
